question_id,sqlite_source_query,mysql_direct_from_sqlite,direct_status,pg_intermediate_query,mysql_via_pg,via_pg_status,both_succeeded,queries_identical
0,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (`Free Meal Count (K-12)` / `Enrollment (K-12)`) DESC LIMIT 1,result_matched,"SELECT ""Free Meal Count (K-12)"" / ""Enrollment (K-12)"" FROM ""frpm"" WHERE ""County Name"" = 'Alameda' ORDER BY (""Free Meal Count (K-12)""::DOUBLE PRECISION / ""Enrollment (K-12)"") DESC NULLS LAST LIMIT 1",SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM `frpm` WHERE `County Name` = 'Alameda' ORDER BY (`Free Meal Count (K-12)` / `Enrollment (K-12)`) DESC LIMIT 1,result_matched,True,False
1,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,result_matched,"SELECT ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" FROM ""frpm"" WHERE ""Educational Option Type"" = 'Continuation School' AND ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" IS NOT NULL ORDER BY ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" ASC NULLS LAST LIMIT 3",SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM `frpm` WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,result_matched,True,False
2,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,result_matched,"SELECT T2.""Zip"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""District Name"" = 'Fresno County Office of Education' AND T1.""Charter School (Y/N)"" = TRUE",SELECT T2.`Zip` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,result_matched,True,False
3,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,result_matched,"SELECT T2.""MailStreet"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T1.""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 1",SELECT T2.`MailStreet` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,result_matched,True,False
4,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',result_matched,"SELECT T2.""Phone"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""Charter Funding Type"" = 'Directly funded' AND T1.""Charter School (Y/N)"" = TRUE AND T2.""OpenDate"" > '2000-01-01'",SELECT T2.`Phone` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.`OpenDate` > '2000-01-01',result_matched,True,False
5,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,SELECT COUNT(DISTINCT T2.`School`) FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` WHERE T2.`Virtual` = 'F' AND T1.`AvgScrMath` > 400,result_matched,"SELECT COUNT(DISTINCT T2.""School"") FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Virtual"" = 'F' AND T1.""AvgScrMath"" > 400",SELECT COUNT(DISTINCT T2.`School`) FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` WHERE T2.`Virtual` = 'F' AND T1.`AvgScrMath` > 400,result_matched,True,True
6,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,result_matched,"SELECT T2.""School"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Magnet"" = TRUE AND T1.""NumTstTakr"" > 500",SELECT T2.`School` FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` WHERE T2.`Magnet` = 1 AND T1.`NumTstTakr` > 500,result_matched,True,False
7,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,result_matched,"SELECT T2.""Phone"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""NumGE1500"" DESC NULLS LAST LIMIT 1",SELECT T2.`Phone` FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` ORDER BY T1.`NumGE1500` DESC LIMIT 1,result_matched,True,False
8,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),result_matched,"SELECT ""NumTstTakr"" FROM ""satscores"" WHERE ""cds"" = ( SELECT ""CDSCode"" FROM ""frpm"" ORDER BY ""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 1 )",SELECT `NumTstTakr` FROM `satscores` WHERE `cds` = ( SELECT `CDSCode` FROM `frpm` ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),result_matched,True,False
9,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',result_matched,SQLite→PG failed,,N/A,False,False
10,SELECT T2.`FRPM Count (Ages 5-17)` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrRead DESC LIMIT 1,SELECT T2.`FRPM Count (Ages 5-17)` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrRead DESC LIMIT 1,result_matched,"SELECT T2.""FRPM Count (Ages 5-17)"" FROM ""satscores"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""AvgScrRead"" DESC NULLS FIRST LIMIT 1","SELECT T2.`FRPM Count (Ages 5-17)` FROM `satscores` AS T1 INNER JOIN `frpm` AS T2 ON T1.`cds` = T2.`CDSCode` ORDER BY CASE WHEN T1.`AvgScrRead` IS NULL THEN 0 ELSE 1 END ASC, T1.`AvgScrRead` DESC LIMIT 1",result_matched,True,False
11,SELECT T2.CDSCode FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,SELECT T2.CDSCode FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,result_matched,"SELECT T2.""CDSCode"" FROM ""schools"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""Enrollment (K-12)"" + T2.""Enrollment (Ages 5-17)"" > 500",SELECT T2.`CDSCode` FROM `schools` AS T1 INNER JOIN `frpm` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,result_matched,True,False
12,SELECT MAX(CAST(T1.`Free Meal Count (Ages 5-17)` AS REAL) / T1.`Enrollment (Ages 5-17)`) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr > 0.3,SELECT MAX(CAST(T1.`Free Meal Count (Ages 5-17)` AS DOUBLE) / T1.`Enrollment (Ages 5-17)`) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE CAST(T2.NumGE1500 AS DOUBLE) / T2.NumTstTakr > 0.3,result_matched,"SELECT MAX(T1.""Free Meal Count (Ages 5-17)"" / T1.""Enrollment (Ages 5-17)"") FROM ""frpm"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" WHERE T2.""NumGE1500""::DOUBLE PRECISION / T2.""NumTstTakr"" > 0.3",SELECT MAX(T1.`Free Meal Count (Ages 5-17)` / T1.`Enrollment (Ages 5-17)`) FROM `frpm` AS T1 INNER JOIN `satscores` AS T2 ON T1.`CDSCode` = T2.`cds` WHERE CAST(T2.`NumGE1500` AS DOUBLE) / T2.`NumTstTakr` > 0.3,result_matched,True,False
13,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr DESC LIMIT 3,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr DESC LIMIT 3,result_matched,"SELECT T1.""Phone"" FROM ""schools"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" ORDER BY T2.""NumGE1500""::DOUBLE PRECISION / T2.""NumTstTakr"" DESC NULLS LAST LIMIT 3","SELECT T1.`Phone` FROM `schools` AS T1 INNER JOIN `satscores` AS T2 ON T1.`CDSCode` = T2.`cds` ORDER BY (CAST(T2.`NumGE1500` AS DOUBLE) / T2.`NumTstTakr` IS NULL) ASC, CAST(T2.`NumGE1500` AS DOUBLE) / T2.`NumTstTakr` DESC LIMIT 3",result_matched,True,False
14,SELECT T1.NCESSchool FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5,SELECT T1.NCESSchool FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5,result_matched,"SELECT T1.""NCESSchool"" FROM ""schools"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T2.""Enrollment (Ages 5-17)"" DESC NULLS LAST LIMIT 5",SELECT T1.`NCESSchool` FROM `schools` AS T1 INNER JOIN `frpm` AS T2 ON T1.`CDSCode` = T2.`CDSCode` ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5,result_matched,True,False
15,SELECT T1.District FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Active' ORDER BY T2.AvgScrRead DESC LIMIT 1,"SELECT `T1`.`District` FROM `schools` AS `T1` INNER JOIN `satscores` AS `T2` ON `T1`.`CDSCode` = `T2`.`cds` WHERE `T1`.`StatusType` = 'Active' AND `T2`.`AvgScrRead` IS NOT NULL ORDER BY `T2`.`AvgScrRead` DESC, `T1`.`School` ASC, `T1`.`CDSCode` ASC LIMIT 1",exhausted_retry,SQLite→PG failed,,N/A,False,False
16,SELECT COUNT(T1.CDSCode) FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Merged' AND T2.NumTstTakr < 100 AND T1.County = 'Lake',SELECT COUNT(T1.CDSCode) FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Merged' AND T2.NumTstTakr < 100 AND T1.County = 'Lake',result_matched,"SELECT COUNT(T1.""CDSCode"") FROM ""schools"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" WHERE T1.""StatusType"" = 'Merged' AND T2.""NumTstTakr"" < 100 AND T1.""County"" = 'Lake'",SELECT COUNT(T1.`CDSCode`) FROM `schools` AS T1 INNER JOIN `satscores` AS T2 ON T1.`CDSCode` = T2.`cds` WHERE T1.`StatusType` = 'Merged' AND T2.`NumTstTakr` < 100 AND T1.`County` = 'Lake',result_matched,True,False
17,"SELECT CharterNum, AvgScrWrite, RANK() OVER (ORDER BY AvgScrWrite DESC) AS WritingScoreRank FROM schools AS T1  INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T2.AvgScrWrite > 499 AND CharterNum is not null","SELECT CharterNum, AvgScrWrite, RANK() OVER (ORDER BY AvgScrWrite DESC) AS WritingScoreRank FROM schools AS T1  INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T2.AvgScrWrite > 499 AND CharterNum is not null",result_matched,SQLite→PG failed,,N/A,False,False
18,SELECT COUNT(T1.CDSCode) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`County Name` = 'Fresno' AND T2.NumTstTakr <= 250,SELECT COUNT(T1.CDSCode) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`County Name` = 'Fresno' AND T2.NumTstTakr <= 250,result_matched,"SELECT COUNT(T1.""CDSCode"") FROM ""frpm"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" WHERE T1.""Charter Funding Type"" = 'Directly funded' AND T1.""County Name"" = 'Fresno' AND T2.""NumTstTakr"" <= 250",SELECT COUNT(T1.`CDSCode`) FROM `frpm` AS T1 INNER JOIN `satscores` AS T2 ON T1.`CDSCode` = T2.`cds` WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`County Name` = 'Fresno' AND T2.`NumTstTakr` <= 250,result_matched,True,False
19,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY T2.AvgScrMath DESC LIMIT 1,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY T2.AvgScrMath DESC LIMIT 1,result_matched,SQLite→PG failed,,N/A,False,False
20,SELECT COUNT(T1.`School Name`) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Amador' AND T1.`Low Grade` = 9 AND T1.`High Grade` = 12,SELECT COUNT(T1.`School Name`) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Amador' AND T1.`Low Grade` = 9 AND T1.`High Grade` = 12,result_matched,"SELECT COUNT(T1.""School Name"") FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""County"" = 'Amador' AND T1.""Low Grade"" = '9' AND T1.""High Grade"" = '12'",SELECT COUNT(T1.`School Name`) FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T2.`County` = 'Amador' AND T1.`Low Grade` = '9' AND T1.`High Grade` = '12',result_matched,True,False
21,SELECT COUNT(CDSCode) FROM frpm WHERE `County Name` = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `FRPM Count (K-12)`< 700,SELECT COUNT(CDSCode) FROM frpm WHERE `County Name` = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `FRPM Count (K-12)` < 700,result_matched,"SELECT COUNT(""CDSCode"") FROM ""frpm"" WHERE ""County Name"" = 'Los Angeles' AND ""Free Meal Count (K-12)"" > 500 AND ""FRPM Count (K-12)"" < 700",SELECT COUNT(`CDSCode`) FROM `frpm` WHERE `County Name` = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `FRPM Count (K-12)` < 700,result_matched,True,False
22,SELECT sname FROM satscores WHERE cname = 'Contra Costa' AND sname IS NOT NULL ORDER BY NumTstTakr DESC LIMIT 1,SELECT sname FROM satscores WHERE cname = 'Contra Costa' AND sname IS NOT NULL ORDER BY NumTstTakr DESC LIMIT 1,result_matched,"SELECT ""sname"" FROM ""satscores"" WHERE ""cname"" = 'Contra Costa' AND ""sname"" IS NOT NULL ORDER BY ""NumTstTakr"" DESC NULLS LAST LIMIT 1",SELECT `sname` FROM `satscores` WHERE `cname` = 'Contra Costa' AND `sname` IS NOT NULL ORDER BY `NumTstTakr` DESC LIMIT 1,result_matched,True,False
23,"SELECT T1.School, T1.Street FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` - T2.`Enrollment (Ages 5-17)` > 30","SELECT T1.School, T1.Street FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` - T2.`Enrollment (Ages 5-17)` > 30",result_matched,SQLite→PG failed,,N/A,False,False
24,SELECT T2.`School Name` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE CAST(T2.`Free Meal Count (K-12)` AS REAL) / T2.`Enrollment (K-12)` > 0.1 AND T1.NumGE1500 > 0,"SELECT T2.`School Name` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T2.`Enrollment (K-12)` IS NOT NULL AND T2.`Enrollment (K-12)` != 0 AND T2.`Free Meal Count (K-12)` IS NOT NULL AND TRUNCATE(T2.`Free Meal Count (K-12)` / T2.`Enrollment (K-12)`, 4) > 0.1 AND T1.NumGE1500 > 0",exhausted_retry,SQLite→PG failed,,N/A,False,False
25,"SELECT T1.sname, T2.`Charter Funding Type` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T2.`District Name` LIKE 'Riverside%' GROUP BY T1.sname, T2.`Charter Funding Type` HAVING CAST(SUM(T1.AvgScrMath) AS REAL) / COUNT(T1.cds) > 400","SELECT T1.sname, T2.`Charter Funding Type` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T2.`District Name` LIKE 'Riverside%' GROUP BY T1.sname, T2.`Charter Funding Type` HAVING SUM(T1.AvgScrMath) / COUNT(T1.cds) > 400 ORDER BY T1.sname, T2.`Charter Funding Type`",result_matched,"SELECT T1.""sname"", T2.""Charter Funding Type"" FROM ""satscores"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""District Name"" LIKE 'Riverside%' GROUP BY T1.""sname"", T2.""Charter Funding Type"" HAVING SUM(T1.""AvgScrMath"")::DOUBLE PRECISION / COUNT(T1.""cds"") > 400","SELECT T1.sname, T2.`Charter Funding Type` FROM `satscores` AS T1 INNER JOIN `frpm` AS T2 ON T1.cds = T2.CDSCode WHERE T2.`District Name` LIKE 'Riverside%' GROUP BY T1.sname, T2.`Charter Funding Type` HAVING SUM(T1.AvgScrMath) / COUNT(T1.cds) > 400",result_matched,True,False
26,"SELECT T1.`School Name`, T2.Street, T2.City, T2.State, T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Monterey' AND T1.`Free Meal Count (Ages 5-17)` > 800 AND T1.`School Type` = 'High Schools (Public)'","SELECT T1.`School Name`, T2.Street, T2.City, T2.State, T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Monterey' AND T1.`Free Meal Count (Ages 5-17)` > 800 AND T1.`School Type` = 'High Schools (Public)'",result_matched,"SELECT T1.""School Name"", T2.""Street"", T2.""City"", T2.""State"", T2.""Zip"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""County"" = 'Monterey' AND T1.""Free Meal Count (Ages 5-17)"" > 800 AND T1.""School Type"" = 'High Schools (Public)'","SELECT T1.`School Name`, T2.`Street`, T2.`City`, T2.`State`, T2.`Zip` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T2.`County` = 'Monterey' AND T1.`Free Meal Count (Ages 5-17)` > 800 AND T1.`School Type` = 'High Schools (Public)'",result_matched,True,False
27,"SELECT T2.School, T1.AvgScrWrite, T2.Phone FROM schools AS T2 LEFT JOIN satscores AS T1 ON T2.CDSCode = T1.cds WHERE strftime('%Y', T2.OpenDate) > '1991' OR strftime('%Y', T2.ClosedDate) < '2000'","SELECT T2.`School`, T1.`AvgScrWrite`, T2.`Phone` FROM `schools` AS T2 LEFT JOIN `satscores` AS T1 ON T2.`CDSCode` = T1.`cds` WHERE DATE_FORMAT(T2.`OpenDate`, '%Y') > '1991' OR DATE_FORMAT(T2.`ClosedDate`, '%Y') < '2000'",result_matched,SQLite→PG failed,,N/A,False,False
